episode_id,season_id,episode_number,title,air_date,main_challenge,main_challenge_type,mini_challenge,runway_theme,lip_sync_song_id,lip_sync_track,eliminated_id,power_up_used,mini_challenge_winner_prize,maxi_challenge_prize,synopsis,untucked_notes
US01E01,US01,1,Drag on a Dime,2009-02-02,Sexy photoshoot; design looks from thrift-store materials,Design,Sexy photo shoot.,-,S0208,main,Q0009,-,-,Stay in Paris Hotel in Las Vegas and immunity from next week's elimination,"The nine debut queens pose in a sexy car-wash photoshoot and then build glamorous looks from thrift-store clothing and 99-cent-store finds. Bob Mackie and Mike Ruiz guest judge. Nina Flowers wins the first challenge, while Victoria (Porkchop) Parker becomes the first queen ever eliminated after lip syncing against Akashia.",-
US01E02,US01,2,Girl Group Challenge,2009-02-09,Destiny's Child girl-group lip-sync battle (teams),Girl Group,Act out emotions,-,S0002,main,Q0008,-,Got to select their group as team captains,Immunity from next week's elimination and a basket of chocolate from Karma and Vojeur Chocolate,"The queens split into two rival girl groups for a Destiny's Child lip-sync battle, with team captains chosen in a photo mini challenge. Michelle Williams and Frank Gatson guest judge. Ongina wins both mini and maxi challenges; Tammie Brown is eliminated after facing Akashia.",-
US01E03,US01,3,Queens of All Media,2009-02-16,Channel Oprah across TV personality roles,Acting,-,Dress to Impress,S0003,main,Q0007,-,-,-,"The queens show off their multimedia skills in newscaster, spokesperson and talk-show host segments.",-
US01E04,US01,4,Mac Viva-Glam Challenge,2009-02-23,Film a MAC Viva-Glam commercial in 10 minutes,Acting,30 Minutes to do partner's makeup,-,S0004,main,Q0006,-,-,-,The queens shoot their own MAC Viva Glam screen test commercials.,-
US01E05,US01,5,Drag School of Charm,2009-03-02,Makeover female fighters into drag daughters,Makeover,Exercise/endurance challenge,-,S0005,main,Q0005,-,-,-,"The queens make over female extreme fighters into their drag daughters, with guest Lucy Lawless judging.",-
US01E06,US01,6,Absolut Drag Ball,2009-03-09,Absolut Drag Ball: themed ball runway looks,Design,Vogue posing challenge,-,S0144,main,Q0004,-,-,-,The queens compete in an Absolut-flavored drag ball.,-
US01E07,US01,7,Extra Special Edition,2009-03-16,-,Clip Show,-,-,-,main,-,-,-,-,"A clip-show special revisits highlights, lowlights and unseen footage from the first six episodes ahead of the finale.",-
US01E08,US01,8,Grand Finale,2009-03-23,Record a verse and film a spot for RuPaul's 'Cover Girl' video,Finale,-,-,S0007,main,Q0003,-,-,-,The final three queens record verses and film a spot for RuPaul's video 'Cover Girl (Put the Bass in Your Walk)' before the crowning.,-
US01E09,US01,9,Re-United!,2009-03-23,-,Reunion,-,-,-,main,-,-,-,-,In the reunion special the nine contestants reflect on the season and confront the judges and each other.,-
US02E01,US02,1,Gone with the Windows,2010-02-01,Design outfits from window treatments and home furnishings,Design,Gone with the Wind photo shoot,Curtain Couture,S0007,main,Q0021,-,First choice in curtain selection,A photo spread for Interior Illusions featured in Lux Magazine and immunity from next week's elimination,"The season opens with a windy Gone with the Wind photoshoot before the queens design couture from window treatments and home furnishings. Kathy Griffin and Mike Ruiz guest judge the Curtain Couture runway. Morgan McMichaels takes the win; Shangela is the first eliminated, lip syncing against Sahara Davenport.","Morgan McMichaels and Mystique Summers Madison had a fight in the premiere's Untucked, later revisited at the reunion."
