person_name,known_for
Jamal Sims,Choreographer and director who has worked across film and music
Lucian Piane,Music producer and composer
Nicole Byer,Comedian and actor; host of the baking competition Nailed It!
Loni Love,Comedian and daytime talk-show host
Ariana Grande,Pop singer-songwriter
Isaac Mizrahi,Fashion designer and television personality
Law Roach,Celebrity stylist and image architect
Dove Cameron,Actor and pop singer
Bob Mackie,Fashion and costume designer known for elaborate showgirl looks
La Toya Jackson,Singer and member of the Jackson musical family
Bruce Vilanch,Comedy writer and performer
Chaz Bono,Actor and writer; LGBTQ+ advocate
Travis Wall,Emmy-winning contemporary choreographer
Khloé Kardashian,Television personality and entrepreneur
Tamar Braxton,Singer and television personality
Todrick Hall,Singer, choreographer and YouTube creator
Fortune Feimster,Comedian and actor
Lizzo,Grammy-winning singer-songwriter and rapper
Ts Madison,Television personality, producer and LGBTQ+ advocate
