moment_id,episode_id,moment_type,description
M0001,US01E01,FIRST,Series premiere of RuPaul's Drag Race; Victoria (Porkchop) Parker was the first queen eliminated in franchise history.
M0002,US02E04,FIRST,"The first-ever Snatch Game challenge, won by Tatianna as Britney Spears."
M0003,US02E04,OTHER,Only episode to use the 'Heel or No Heel' device to reveal which queens were safe on the main stage.
M0004,US02E08,RECORD,Raven became the first contestant to win two consecutive maxi challenges.
M0005,US02E12,FIRST,"Sonique came out as transgender at the reunion, the first contestant in the show's history to do so."
M0006,US03E06,OTHER,The Snatch Game celebrity-impersonation challenge takes place this episode.
M0007,US03E09,TWIST,Non-elimination episode: no queen was sent home.
M0008,US03E12,RETURN,Carmen Carrera returned to the competition.
M0009,US03E15,OTHER,Grand finale: the winner of the season is crowned.
M0010,US03E16,OTHER,Reunion episode revisiting the season and its contestants.
M0011,US04E05,OTHER,The Snatch Game celebrity-impersonation challenge takes place this episode.
M0012,US04E14,OTHER,Reunion episode revisiting the season and its contestants.
M0013,US05E05,OTHER,The Snatch Game celebrity-impersonation challenge takes place this episode.
M0014,US05E14,OTHER,Reunion episode revisiting the season and its contestants.
M0015,US06E05,OTHER,The Snatch Game celebrity-impersonation challenge takes place this episode.
M0016,US06E07,TWIST,Non-elimination episode: no queen was sent home.
M0017,US06E14,OTHER,Reunion episode revisiting the season and its contestants.
M0018,US07E07,OTHER,The Snatch Game celebrity-impersonation challenge takes place this episode.
M0019,US07E08,RETURN,Trixie Mattel returned to the competition.
M0020,US07E14,OTHER,Grand finale: the winner of the season is crowned.
M0021,US08E02,TWIST,Double elimination: Dax ExclamationPoint and Laila McQueen sent home.
M0022,US08E03,RETURN,Naysha Lopez returned to the competition.
M0023,US08E05,OTHER,The Snatch Game celebrity-impersonation challenge takes place this episode.
M0024,US08E10,OTHER,Grand finale: the winner of the season is crowned.
M0025,US09E01,TWIST,Non-elimination episode: no queen was sent home.
M0026,US09E02,RETURN,Cynthia Lee Fontaine returned to the competition.
M0027,US09E06,OTHER,The Snatch Game celebrity-impersonation challenge takes place this episode.
M0028,US09E13,OTHER,Reunion episode revisiting the season and its contestants.
M0029,US09E14,OTHER,Grand finale: the winner of the season is crowned.
M0030,US12E06,OTHER,The Snatch Game celebrity-impersonation challenge takes place this episode.
M0031,US12E10,TWIST,Non-elimination episode: no queen was sent home.
M0032,US12E14,OTHER,Grand finale: the winner of the season is crowned.
M0033,US13E01,TWIST,"Premiere twist: contestants lip synced upon entering, with the winners eliminating others."
M0034,US13E08,TWIST,Non-elimination episode: no queen was sent home.
M0035,US13E09,OTHER,The Snatch Game celebrity-impersonation challenge takes place this episode.
M0036,US13E15,OTHER,Reunion episode revisiting the season and its contestants.
M0037,US13E16,OTHER,Grand finale: the winner of the season is crowned.
M0038,US14E03,RETURN,Daya Betty & Orion Story returned to the competition.
M0039,US14E09,TWIST,Non-elimination episode: no queen was sent home.
M0040,US14E10,OTHER,The Snatch Game celebrity-impersonation challenge takes place this episode.
